datetime,bench_set,function_name,test_name,mean,variance,stdev,coef_of_variance
2020-06-28 16:38:17,netBench,AddRandomLayer,10x1000x5x3,0.0046425,4.38959e-05,0.0066254,142.712
2020-06-28 16:38:17,netBench,net::BuildRandomNetwork,2x100x100x100x3,0.00260619,4.51429e-08,0.000212469,8.15247
2020-06-28 16:38:17,netBench,net::BuildRandomNetwork,10x1000x5x3,0.00218776,1.89106e-08,0.000137516,6.2857
2020-06-28 16:38:17,netBench,MutateBiasesAndWeights,2x100x100x100x3,0.0019361,3.11991e-08,0.000176633,9.12312
2020-06-28 16:38:17,netBench,MutateBiasesAndWeights,10x1000x5x3,0.00150221,6.34339e-09,7.96454e-05,5.30187
2020-06-28 16:38:17,netBench,net::BuildOnesNetwork,10x1000x5x3,0.000528225,6.29748e-08,0.000250948,47.5078
2020-06-28 16:38:17,netBench,net::BuildOnesNetwork,2x100x100x100x3,0.000372414,2.53639e-08,0.00015926,42.7644
2020-06-28 16:38:17,netBench,AddRandomNeuron,10x1000x5x3,0.000330806,2.12769e-08,0.000145866,44.0942
2020-06-28 16:38:17,netBench,AddRandomLayer,2x100x100x100x3,0.000249274,2.60767e-08,0.000161483,64.7812
2020-06-28 16:38:17,netBench,ComputeNeuralNetwork,2x100x100x100x3,0.000200377,1.95053e-09,4.41648e-05,22.0409
2020-06-28 16:38:17,netBench,ComputeNeuralNetwork,10x1000x5x3,0.00018665,1.4605e-09,3.82164e-05,20.475
2020-06-28 16:38:17,netBench,AddRandomNeuron,2x100x100x100x3,0.000117483,4.22416e-09,6.49935e-05,55.3217
2020-06-28 16:38:17,netBench,net::BuildRandomNetwork,2x5x5x5x3,2.47285e-05,1.24412e-10,1.1154e-05,45.1059
2020-06-28 16:38:17,netBench,net::BuildOnesNetwork,2x5x5x5x3,1.45884e-05,7.06193e-12,2.65743e-06,18.2161
2020-06-28 16:38:17,netBench,MutateBiasesAndWeights,2x5x5x5x3,1.09968e-05,1.67391e-11,4.09135e-06,37.2049
2020-06-28 16:38:17,netBench,AddRandomLayer,2x5x5x5x3,7.84341e-06,1.2861e-11,3.58622e-06,45.7228
2020-06-28 16:38:17,netBench,AddRandomNeuron,2x5x5x5x3,5.39866e-06,1.27133e-11,3.56558e-06,66.0456
2020-06-28 16:38:17,netBench,ComputeNeuralNetwork,2x5x5x5x3,3.41926e-06,4.10863e-12,2.02697e-06,59.2812
2020-06-28 16:38:17,evoBench,SortGenerationByScores,100,4.49462e-05,3.93228e-10,1.983e-05,44.1194
2020-06-28 16:38:17,evoBench,SortGenerationByScores,50,1.73718e-05,2.40511e-11,4.90419e-06,28.2308
2020-06-28 16:38:17,evoBench,SortGenerationByScores,10,2.83467e-06,1.59006e-11,3.98755e-06,140.671
2020-06-28 16:38:17,evoBench,KeepOnlyFirstAgents,nontrivial,7.83963e-07,6.00739e-13,7.75074e-07,98.8661
2020-06-28 16:38:17,evoBench,KeepOnlyFirstAgents,trivial,8.0281e-08,4.5591e-16,2.1352e-08,26.5966
2020-06-28 16:38:17,evoBench,evo::GetNumChildren,basic,7.3981e-08,2.1975e-15,4.68775e-08,63.3643
